 ,Label,Area,Mean,Min,Max,%Area
1,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C2-inside,55.38,20.03,6,31,100
2,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C3-inside,76.59,27.80,7,49,100
3,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C4-inside,71.43,23.64,5,44,100
4,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C5-inside,54.69,21.97,6,38,100
5,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C6-inside,73.19,21.76,6,38,100
6,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C9-inside,65.79,32.32,6,80,100
7,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C10-inside,113.48,32.58,5,88,100
8,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C11-inside,131.97,38.36,6,147,100
9,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C12-inside,68.61,54.16,3,127,100
10,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C14-inside,134.21,39.83,4,131,100
11,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C15-inside,52.16,42.78,7,101,100
12,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C17-inside,111.92,27.83,6,66,100
13,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C18-inside,242.13,28.82,4,107,100
14,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C19-inside,71.53,30.18,5,59,100
15,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C20-inside,168.07,39.41,2,131,100
16,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C1-inside,2305.14,35.84,4,168,100
17,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C7-inside,277.36,32.07,5,101,100
18,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C8-inside,410.69,41.03,1,165,100
19,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C13-inside,428.02,39.05,4,169,100
20,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C16-inside,267.54,44.36,4,127,100
21,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C21-inside,243.40,35.06,3,95,100
22,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C2,214.79,10.54,1,31,100
23,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C2-outside,159.41,7.24,1,17,100
24,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C3,243.11,13.17,1,49,100
25,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C3-outside,166.52,6.44,1,17,100
26,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C4,252.74,11.06,1,44,100
27,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C4-outside,181.31,6.10,1,17,100
28,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C5,199.12,10.96,1,38,100
29,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C5-outside,144.42,6.79,1,17,100
30,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C6,242.13,11.19,1,38,100
31,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C6-outside,168.95,6.62,1,17,100
32,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C9,237.37,14.03,1,80,100
33,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C9-outside,171.58,7.02,1,22,100
34,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C10,364.86,14.75,1,88,100
35,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C10-outside,251.38,6.71,1,21,100
36,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C11,431.33,16.66,1,147,100
37,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C11-outside,299.36,7.09,1,19,100
38,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C12,212.94,21.74,1,127,100
39,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C12-outside,144.33,6.32,1,19,100
40,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C14,420.33,17.55,1,131,100
41,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C14-outside,286.12,7.10,1,21,100
42,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C15,147.83,19.09,0,101,99.87
43,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C15-outside,95.67,6.17,0,22,99.80
44,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C17,341.99,13.32,1,66,100
45,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C17-outside,230.07,6.27,1,20,100
46,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C18,706.26,14.19,0,107,99.99
47,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C18-outside,464.12,6.56,0,19,99.98
48,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C19,254.40,12.89,1,59,100
49,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C19-outside,182.87,6.13,1,19,100
50,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C20,457.70,18.18,1,131,100
51,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C20-outside,289.63,5.87,1,25,100
52,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C1,5248.13,19.39,1,168,100
53,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C1-outside,2942.99,6.50,1,26,100
54,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C7,854.77,14.82,1,101,100
55,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C7-outside,577.41,6.53,1,24,100
56,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C8,1115.30,19.03,0,165,99.97
57,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C8-outside,704.60,6.20,0,26,99.96
58,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C13,1212.52,18.16,0,169,99.98
59,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C13-outside,784.50,6.76,0,31,99.98
60,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C16,718.33,20.56,0,127,99.96
61,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C16-outside,450.79,6.44,0,43,99.94
62,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C21,685.14,16.31,0,95,99.99
63,29-periph-cap-4avg-20x-2_fitc-denoised_MAX.tif:C21-outside,441.74,5.97,0,26,99.98
