Sample,Pgp RGE,Bcrp RGE
C1-hyp,1.7701376,1.616012565
C1-ret,0.420764322,0.891891896
C2-hyp,1.751489868,1.626327218
C2-ret,0.938722867,1.21546366
C3-hyp,1.234432752,2.371565159
C3-ret,0.734390581,1.016679808
C4-hyp,1.865005781,1.920680873
C4-ret,0.686952928,0.996308557
C5-hyp,1.372799211,1.226127965
C5-ret,1.225808495,0.976621841
C6-hyp,1.495863839,1.551880673
C6-ret,0.787669726,1.076872575
C7-hyp,2.030120542,1.402004755
C7-ret,1.176887566,0.915791043
M1-hyp,3.749489758,1.549499313
M1-ret,1.664446709,1.838150158
M2-hyp,4.166748807,1.866378498
M2-ret,1.550701839,1.374556809
M4-hyp,4.512915739,1.719676445
M4-ret,2.196278796,1.64181229
M5-hyp,4.276685805,1.473792338
M5-ret,1.840833028,1.488914813
M6-hyp,3.803633504,1.800544298
M6-ret,1.340469986,1.316808456
M7-hyp,3.676525685,1.705072323
M7-ret,1.611548463,1.726829065
M8-hyp,4.877955105,1.868698441
M8-ret,1.207405598,1.223289372
M9-hyp,4.192583522,2.108137875
M9-ret,1.184306912,1.449699673
S1-hyp,1.801688844,1.556563564
S1-ret,1.020072817,1.040749256
S2-hyp,1.368968618,1.861546907
S2-ret,0.822235535,1.078427362
S3-hyp,1.55822381,1.184203383
S3-ret,1.008123189,0.866057824
S4-hyp,1.037904714,1.252324702
S4-ret,0.777656511,1.020096158
S5-hyp,1.616323908,1.270465828
S5-ret,0.810933641,0.913926876
S6-hyp,1.720688211,1.159716763
S6-ret,1.083566559,0.943693447
S7-hyp,2.326041226,1.642772324
S7-ret,1.435787439,1.245335147
S8-hyp,2.069600498,1.632794808
S8-ret,1.067929564,1.045642377
S9-hyp,2.433941432,1.416875665
S9-ret,1.128749307,0.8979728
